Year,State Name,Data Value
2021,Alabama,14096.0
2021,Alaska,11050.0
2021,Arizona,126076.0
2021,Arkansas,11175.0
2021,California,478360.0
2021,Colorado,78228.0
2021,Connecticut,80568.0
2021,Delaware,25385.0
2021,District of Columbia,25633.0
2021,Florida,384970.0
2021,Georgia,105605.0
2021,Hawaii,8935.0
2021,Idaho,11810.0
2021,Illinois,189313.0
2021,Indiana,128256.0
2021,Iowa,17918.0
2021,Kansas,24500.0
2021,Kentucky,118354.0
2021,Louisiana,27635.0
2021,Maine,29599.0
2021,Maryland,150562.0
2021,Massachusetts,129482.0
2021,Michigan,149606.0
2021,Minnesota,47182.0
2021,Mississippi,32570.0
2021,Missouri,94072.0
2021,Montana,6694.0
2021,Nebraska,2603.0
2021,Nevada,45579.0
2021,New Hampshire,18942.0
2021,New Jersey,157108.0
2021,New Mexico,46189.0
2021,New York,161807.0
2021,New York City,145268.0
2021,North Carolina,184257.0
2021,North Dakota,1540.0
2021,Ohio,270364.0
2021,Oklahoma,30532.0
2021,Oregon,44700.0
2021,Pennsylvania,64566.0
2021,Rhode Island,22046.0
2021,South Carolina,103273.0
2021,South Dakota,3020.0
2021,Tennessee,181594.0
2021,Texas,188493.0
2021,United States,4942616.0
2021,Utah,30810.0
2021,Vermont,12252.0
2021,Virginia,130655.0
2021,Washington,93500.0
2021,West Virginia,82058.0
2021,Wisconsin,85648.0
2021,Wyoming,4129.0
