Year,State Name,Data Value
2017,Alabama,9551.0
2017,Alaska,6184.0
2017,Arizona,42046.0
2017,Arkansas,4775.0
2017,California,58406.0
2017,Colorado,12046.0
2017,Connecticut,56691.0
2017,Delaware,3866.0
2017,District of Columbia,18490.0
2017,Florida,65444.0
2017,Georgia,67379.0
2017,Hawaii,4047.0
2017,Idaho,2807.0
2017,Illinois,123481.0
2017,Indiana,20889.0
2017,Iowa,13393.0
2017,Kansas,3771.0
2017,Kentucky,18737.0
2017,Louisiana,12344.0
2017,Maine,20062.0
2017,Maryland,123219.0
2017,Massachusetts,110424.0
2017,Michigan,31175.0
2017,Minnesota,8288.0
2017,Mississippi,3911.0
2017,Missouri,20523.0
2017,Montana,1465.0
2017,Nebraska,1512.0
2017,Nevada,30116.0
2017,New Hampshire,22565.0
2017,New Jersey,28586.0
2017,New Mexico,23094.0
2017,New York,125166.0
2017,New York City,78735.0
2017,North Carolina,107497.0
2017,North Dakota,950.0
2017,Ohio,257562.0
2017,Oklahoma,32403.0
2017,Oregon,20849.0
2017,Pennsylvania,64683.0
2017,Rhode Island,17413.0
2017,South Carolina,46139.0
2017,South Dakota,2790.0
2017,Tennessee,81615.0
2017,Texas,34262.0
2017,United States,3014873.0
2017,Utah,30288.0
2017,Vermont,6787.0
2017,Virginia,71747.0
2017,Washington,45891.0
2017,West Virginia,53720.0
2017,Wisconsin,54539.0
2017,Wyoming,2321.0
