Year,State Name,Data Value
2015,Alabama,8818.0
2015,Alaska,2151.0
2015,Arizona,14590.0
2015,Arkansas,4616.0
2015,California,56001.0
2015,Colorado,11091.0
2015,Connecticut,32924.0
2015,Delaware,2391.0
2015,District of Columbia,4926.0
2015,Florida,36892.0
2015,Georgia,33827.0
2015,Hawaii,1884.0
2015,Idaho,2570.0
2015,Illinois,60258.0
2015,Indiana,14427.0
2015,Iowa,10948.0
2015,Kansas,3926.0
2015,Kentucky,14286.0
2015,Louisiana,9800.0
2015,Maine,12932.0
2015,Maryland,56955.0
2015,Massachusetts,22936.0
2015,Michigan,23417.0
2015,Minnesota,6669.0
2015,Mississippi,3907.0
2015,Missouri,13090.0
2015,Montana,1527.0
2015,Nebraska,1547.0
2015,Nevada,26724.0
2015,New Hampshire,20176.0
2015,New Jersey,15849.0
2015,New Mexico,24107.0
2015,New York,75429.0
2015,New York City,37843.0
2015,North Carolina,64385.0
2015,North Dakota,799.0
2015,Ohio,116843.0
2015,Oklahoma,32684.0
2015,Oregon,21023.0
2015,Pennsylvania,36077.0
2015,Rhode Island,15043.0
2015,South Carolina,34467.0
2015,South Dakota,1214.0
2015,Tennessee,50508.0
2015,Texas,30794.0
2015,United States,1970185.0
2015,Utah,31675.0
2015,Vermont,3960.0
2015,Virginia,44448.0
2015,Washington,43554.0
2015,West Virginia,37173.0
2015,Wisconsin,14881.0
2015,Wyoming,1229.0
