Year,State Name,Data Value
2022,Alabama,53156.0
2022,Alaska,13195.0
2022,Arizona,128239.0
2022,Arkansas,26881.0
2022,California,528853.0
2022,Colorado,84232.0
2022,Connecticut,82323.0
2022,Delaware,27971.0
2022,District of Columbia,27323.0
2022,Florida,386401.0
2022,Georgia,126875.0
2022,Hawaii,9935.0
2022,Idaho,16007.0
2022,Illinois,204750.0
2022,Indiana,135810.0
2022,Iowa,19567.0
2022,Kansas,32489.0
2022,Kentucky,116880.0
2022,Louisiana,30078.0
2022,Maine,35670.0
2022,Maryland,134258.0
2022,Massachusetts,138490.0
2022,Michigan,151721.0
2022,Minnesota,64701.0
2022,Mississippi,33018.0
2022,Missouri,99912.0
2022,Montana,8165.0
2022,Nebraska,2592.0
2022,Nevada,46980.0
2022,New Hampshire,23255.0
2022,New Jersey,158844.0
2022,New Mexico,50934.0
2022,New York,169962.0
2022,New York City,170716.0
2022,North Carolina,215829.0
2022,North Dakota,2259.0
2022,Ohio,260155.0
2022,Oklahoma,45271.0
2022,Oregon,58135.0
2022,Pennsylvania,62965.0
2022,Rhode Island,24135.0
2022,South Carolina,115248.0
2022,South Dakota,3226.0
2022,Tennessee,193831.0
2022,Texas,216230.0
2022,United States,5290599.0
2022,Utah,30680.0
2022,Vermont,14344.0
2022,Virginia,132555.0
2022,Washington,120014.0
2022,West Virginia,73307.0
2022,Wisconsin,95633.0
2022,Wyoming,4964.0
