Year,State Name,Data Value
2023,Alabama,24325.0
2023,Alaska,4706.0
2023,Arizona,43747.0
2023,Arkansas,7925.0
2023,California,185476.0
2023,Colorado,27427.0
2023,Connecticut,27266.0
2023,Delaware,10005.0
2023,District of Columbia,9903.0
2023,Florida,123687.0
2023,Georgia,43096.0
2023,Hawaii,3204.0
2023,Idaho,5375.0
2023,Illinois,66788.0
2023,Indiana,41723.0
2023,Iowa,5944.0
2023,Kansas,11500.0
2023,Kentucky,38838.0
2023,Louisiana,9412.0
2023,Maine,12972.0
2023,Maryland,43208.0
2023,Massachusetts,47228.0
2023,Michigan,50612.0
2023,Minnesota,22344.0
2023,Mississippi,10553.0
2023,Missouri,34043.0
2023,Montana,2585.0
2023,Nebraska,889.0
2023,Nevada,17696.0
2023,New Hampshire,7811.0
2023,New Jersey,50889.0
2023,New Mexico,15787.0
2023,New York,61504.0
2023,New York City,60113.0
2023,North Carolina,76024.0
2023,North Dakota,1249.0
2023,Ohio,87534.0
2023,Oklahoma,17945.0
2023,Oregon,23940.0
2023,Pennsylvania,20926.0
2023,Rhode Island,7625.0
2023,South Carolina,39334.0
2023,South Dakota,908.0
2023,Tennessee,65659.0
2023,Texas,79899.0
2023,United States,1803711.0
2023,Utah,10300.0
2023,Vermont,4824.0
2023,Virginia,44499.0
2023,Washington,49697.0
2023,West Virginia,24130.0
2023,Wisconsin,30086.0
2023,Wyoming,1794.0
