Year,State Name,Data Value
2018,Alabama,9198.0
2018,Alaska,5645.0
2018,Arizona,68142.0
2018,Arkansas,5286.0
2018,California,63121.0
2018,Colorado,23982.0
2018,Connecticut,58237.0
2018,Delaware,17886.0
2018,District of Columbia,14759.0
2018,Florida,61872.0
2018,Georgia,65109.0
2018,Hawaii,5688.0
2018,Idaho,2798.0
2018,Illinois,140052.0
2018,Indiana,20276.0
2018,Iowa,12592.0
2018,Kansas,4045.0
2018,Kentucky,62803.0
2018,Louisiana,14199.0
2018,Maine,20308.0
2018,Maryland,131198.0
2018,Massachusetts,118742.0
2018,Michigan,56471.0
2018,Minnesota,8140.0
2018,Mississippi,3767.0
2018,Missouri,38905.0
2018,Montana,1290.0
2018,Nebraska,1861.0
2018,Nevada,30961.0
2018,New Hampshire,22347.0
2018,New Jersey,100901.0
2018,New Mexico,22426.0
2018,New York,119305.0
2018,New York City,82647.0
2018,North Carolina,115475.0
2018,North Dakota,879.0
2018,Ohio,218030.0
2018,Oklahoma,26501.0
2018,Oregon,23472.0
2018,Pennsylvania,57391.0
2018,Rhode Island,17300.0
2018,South Carolina,51772.0
2018,South Dakota,1893.0
2018,Tennessee,85986.0
2018,Texas,41888.0
2018,United States,3130334.0
2018,Utah,32105.0
2018,Vermont,7293.0
2018,Virginia,75172.0
2018,Washington,49036.0
2018,West Virginia,51336.0
2018,Wisconsin,55404.0
2018,Wyoming,2775.0
